t^p_nail,PRS.nail
t^p_not_give,PRS.not_give
t^p_ooze,PRS.ooze
t^p_open,PRS.open
t^p_open_the_mouth,PRS.open_the_mouth
t^p_pass,PRS.pass
t^p_pass_gas,PRS.pass_gas
t^p_pay,PRS.pay
t^p_pee,PRS.pee
t^p_peel,PRS.peel
t^p_pick,PRS.pick
t^p_pierce,PRS.pierce
t^p_pin,PRS.pin
t^p_pinch,PRS.pinch
t^p_play,PRS.play
t^p_play_instrument,PRS.play_instrument
t^p_play_knucklebones,PRS.play_knucklebones
t^p_plough,PRS.plough
t^p_point_finger,PRS.point_finger
t^p_polish,PRS.polish
t^p_pour,PRS.pour
t^p_pour_water_in_pot,PRS.pour_water_in_pot
t^p_pout,PRS.pout
t^p_praise,PRS.praise
t^p_press,PRS.press
t^p_press_out,PRS.press_out
t^p_prevent,PRS.prevent
t^p_prop,PRS.prop
t^p_provoke,PRS.provoke
t^p_pull,PRS.pull
t^p_punch,PRS.punch
t^p_push,PRS.push
t^p_put,PRS.put
t^p_put_on,PRS.put_on
t^p_race,PRS.race
t^p_rain,PRS.rain
t^p_raise_up,PRS.raise_up
t^p_read,PRS.read
t^p_reap,PRS.reap
t^p_reduce,PRS.reduce
t^p_refuse,PRS.refuse
t^p_remain,PRS.remain
t^p_remember,PRS.remember
t^p_reprimand,PRS.reprimand
t^p_respect,PRS.respect
t^p_rest,PRS.rest
t^p_rest/t^pf,PRS.rest.PRF
t^p_return,PRS.return
t^p_reverse,PRS.reverse
t^p_ride,PRS.ride
t^p_rinse,PRS.rinse
t^p_ripen,PRS.ripen
t^p_rise,PRS.rise
t^p_roast,PRS.roast
t^p_roll,PRS.roll
t^p_run,PRS.run
t^p_run_away,PRS.run_away
t^p_rustle,PRS.rustle
t^p_say,PRS.say
t^p_say/m^in,PRS.say.IND
t^p_say/m^x,PRS.say.MOOD
t^p_scold,PRS.scold
t^p_scratch,PRS.scratch
t^p_see,PRS.see
t^p_seek,PRS.seek
t^p_send_away,PRS.send_away
t^p_sew,PRS.sew
t^p_shake,PRS.shake
t^p_shine,PRS.shine
t^p_shit,PRS.shit
t^p_shoot,PRS.shoot
t^p_shovel,PRS.shovel
t^p_show,PRS.show
t^p_shuffle,PRS.shuffle
t^p_shut_one's_eyes,PRS.shut_one's_eyes
t^p_sift,PRS.sift
t^p_sing,PRS.sing
t^p_sit,PRS.sit
t^p_sit_on,PRS.sit_on
t^p_slant,PRS.slant
t^p_sleep,PRS.sleep
t^p_slip,PRS.slip
t^p_smash,PRS.smash
t^p_smear,PRS.smear
t^p_smell,PRS.smell
t^p_smoke,PRS.smoke
t^p_sniffle,PRS.sniffle
t^p_sow,PRS.sow
t^p_speak,PRS.speak
t^p_spit,PRS.spit
t^p_split,PRS.split
t^p_spoil,PRS.spoil
t^p_spread,PRS.spread
t^p_spread_out,PRS.spread_out
t^p_sprinkle,PRS.sprinkle
t^p_squeeze,PRS.squeeze
t^p_stab,PRS.stab
t^p_stamp,PRS.stamp
t^p_stand,PRS.stand
t^p_steal,PRS.steal
t^p_step,PRS.step
t^p_stir,PRS.stir
